Date,Value
01-01-2010,74.45
01-01-2010,72.5
01-01-2010,77.75
03-01-2010,74.45
03-01-2010,81
03-01-2010,72.5
03-01-2010,77.75
04-01-2010,74.45
04-01-2010,81
04-01-2010,81.5
04-01-2010,72.5
04-01-2010,77.75
05-01-2010,74.45
05-01-2010,74
05-01-2010,72.5
05-01-2010,77.75
07-01-2010,74
07-01-2010,72.5
07-01-2010,77.75
08-01-2010,74
08-01-2010,72.5
08-01-2010,77.75
09-01-2010,72.78
09-01-2010,74.45
09-01-2010,74
09-01-2010,72.5
10-01-2010,72.78
10-01-2010,74.45
10-01-2010,74
10-01-2010,72.5
11-01-2010,74
11-01-2010,72.5
11-01-2010,72.41
11-01-2010,74.45
12-01-2010,72.41
12-01-2010,74.45
12-01-2010,74
12-01-2010,72.5
13-01-2010,74.45
13-01-2010,74
13-01-2010,77.75
14-01-2010,74.45
14-01-2010,74
14-01-2010,77.75
15-01-2010,73.5
15-01-2010,77.75
16-01-2010,73.5
16-01-2010,77.75
21-01-2010,76.5
21-01-2010,73.5
21-01-2010,77.75
22-01-2010,76.5
22-01-2010,73.5
22-01-2010,77.75
23-01-2010,76.5
23-01-2010,73.5
23-01-2010,73.5
23-01-2010,77.75
24-01-2010,76.5
24-01-2010,73.5
24-01-2010,73.5
24-01-2010,77.75
25-01-2010,73.5
25-01-2010,73.5
25-01-2010,77.75
26-01-2010,73.5
26-01-2010,73.5
26-01-2010,77.75
27-01-2010,73.5
27-01-2010,73.5
27-01-2010,77.75
28-01-2010,73.5
28-01-2010,73.5
28-01-2010,77.75
29-01-2010,73.5
29-01-2010,73.5
29-01-2010,77.75
30-01-2010,73.5
30-01-2010,77.75
31-01-2010,73.5
31-01-2010,77.75
01-02-2010,73.5
01-02-2010,77.75
02-02-2010,73.5
02-02-2010,77.75
03-02-2010,73.5
03-02-2010,77.75
04-02-2010,73.5
04-02-2010,77.75
05-02-2010,73.5
05-02-2010,77.75
06-02-2010,73.5
06-02-2010,77.75
07-02-2010,73.5
07-02-2010,77.75
08-02-2010,73.5
08-02-2010,77.75
09-02-2010,73.5
09-02-2010,77.75
10-02-2010,73.49
10-02-2010,83.16
10-02-2010,78.92
10-02-2010,73.5
10-02-2010,77.75
11-02-2010,73.49
11-02-2010,73.5
11-02-2010,78.92
11-02-2010,77.75
12-02-2010,73.49
12-02-2010,73.5
12-02-2010,78.92
12-02-2010,77.75
13-02-2010,73.49
13-02-2010,78.92
13-02-2010,73.5
13-02-2010,77.75
14-02-2010,78.92
14-02-2010,73.49
14-02-2010,73.5
14-02-2010,77.75
15-02-2010,78.92
15-02-2010,73.49
15-02-2010,73.5
15-02-2010,77.75
16-02-2010,73.49
16-02-2010,73.5
16-02-2010,77.75
16-02-2010,78.92
17-02-2010,73.49
17-02-2010,78.92
17-02-2010,73.5
17-02-2010,77.75
18-02-2010,73.49
18-02-2010,78.92
18-02-2010,73.5
18-02-2010,77.75
19-02-2010,78.92
19-02-2010,73.49
19-02-2010,73.5
19-02-2010,77.75
20-02-2010,79.13
20-02-2010,73.49
20-02-2010,78.92
20-02-2010,73.5
20-02-2010,77.75
21-02-2010,78.92
21-02-2010,73.49
21-02-2010,79.13
21-02-2010,73.5
21-02-2010,77.75
22-02-2010,79.13
22-02-2010,78.92
22-02-2010,73.47
22-02-2010,73.5
22-02-2010,77.75
23-02-2010,79.13
23-02-2010,73.47
23-02-2010,73.5
23-02-2010,77.75
23-02-2010,78.92
24-02-2010,79.13
24-02-2010,73.47
24-02-2010,78.92
24-02-2010,73.5
24-02-2010,77.75
25-02-2010,73.47
25-02-2010,73.5
25-02-2010,78.92
25-02-2010,79.13
25-02-2010,77.75
27-02-2010,79.13
27-02-2010,73.47
27-02-2010,73.5
27-02-2010,77.75
27-02-2010,78.92
28-02-2010,73.47
28-02-2010,73.5
28-02-2010,79.13
28-02-2010,78.92
28-02-2010,77.75
01-03-2010,79.13
01-03-2010,73.47
01-03-2010,78.92
01-03-2010,73.5
01-03-2010,77.75
02-03-2010,78.92
02-03-2010,79.13
02-03-2010,73.47
02-03-2010,73.5
02-03-2010,77.75
03-03-2010,73.47
