CustID,Age,MembersInFamily,Occupation,Area,TenureInMonths,AvgSTDCalls,AvgLocalCalls,AvgDataUsage,BillPaymentMode,AvgAmount,Churned
ID10001,26,2,2,Area1,10,11,9,365,2,352,1
ID10002,37,2,1,Area1,12,9,9,218,2,1346,0
ID10003,33,2,2,Area1,13,11,11,1367,2,1106,0
ID10004,40,2,3,Area1,7,22,18,267,2,594,1
ID10005,25,3,1,Area1,16,12,10,4036,1,726,1
ID10006,25,5,1,Area1,15,51,41,2947,1,486,0
ID10007,28,2,3,Area1,11,9,9,1233,2,497,1
ID10008,28,5,2,Area1,16,20,10,4788,1,1019,1
ID10009,36,2,2,Area1,14,20,17,1065,2,509,0
ID10010,33,3,2,Area1,14,23,22,4183,1,870,0
ID10011,36,3,3,Area1,14,16,11,123,2,625,0
ID10012,30,2,3,Area1,16,28,18,357,2,421,1
ID10013,40,5,2,Area1,14,19,15,1712,2,742,0
ID10014,36,4,1,Area1,14,13,12,911,2,1383,0
ID10015,36,3,3,Area2,14,19,16,1915,2,674,0
ID10016,29,2,3,Area2,14,12,12,240,2,1326,1
ID10017,30,3,3,Area2,16,8,8,1628,2,463,0
ID10018,29,4,2,Area2,15,14,14,1324,2,899,0
ID10019,30,3,2,Area2,15,13,13,675,2,364,0
ID10020,26,5,1,Area2,13,12,12,1339,2,1187,0
ID10021,35,4,2,Area2,14,14,14,2750,1,576,0
ID10022,33,2,2,Area2,9,13,13,756,2,355,0
ID10023,34,4,2,Area2,16,19,11,41,2,1154,0
ID10024,30,3,2,Area2,8,10,10,338,2,479,0
ID10025,28,3,1,Area2,14,7,7,130,2,925,0
ID10026,35,3,2,Area2,14,17,17,3895,2,533,0
ID10027,36,2,1,Area2,14,29,29,5573,2,784,1
ID10028,31,2,1,Area2,11,17,17,57,2,608,0
ID10029,32,2,1,Area2,14,11,11,758,2,1134,1
ID10030,38,4,1,Area2,16,8,8,2682,1,1036,0
ID10031,28,4,1,Area2,16,10,10,813,2,1408,0
ID10032,37,5,3,Area2,13,12,12,710,2,1424,0
ID10033,27,2,3,Area2,11,9,9,1330,2,1463,1
ID10034,31,3,1,Area2,9,6,6,1096,2,434,0
ID10035,40,4,2,Area2,14,8,8,1060,2,467,0
ID10036,31,2,1,Area2,12,13,12,5396,2,806,0
ID10037,32,2,3,Area2,7,8,8,333,2,1028,1
ID10038,25,3,2,Area2,7,11,11,540,2,820,0
ID10039,31,3,3,Area2,11,11,11,1621,2,1413,0
ID10040,28,2,2,Area2,9,7,7,1246,2,574,1
ID10041,36,2,1,Area2,8,11,11,1908,2,1284,1
ID10042,32,3,2,Area2,9,12,12,315,2,1119,1
ID10043,40,2,3,Area2,11,12,11,1749,2,1182,1
ID10044,31,4,1,Area2,16,17,17,4599,2,695,0
ID10045,26,2,1,Area2,11,8,8,497,2,1040,1
ID10046,32,2,3,Area2,14,13,13,249,2,1384,0
ID10047,25,3,1,Area2,8,13,13,1138,2,1135,1
ID10048,31,3,1,Area2,13,16,16,10,2,327,0
ID10049,27,2,2,Area2,10,5,5,768,2,1103,1
ID10050,29,2,3,Area2,17,8,8,1767,2,803,1
ID10051,28,4,2,Area2,14,16,16,347,2,1437,1
ID10052,40,4,3,Area2,9,13,13,3583,2,1361,1
ID10053,35,3,3,Area2,14,14,14,158,2,336,0
ID10054,26,3,3,Area2,12,8,8,1835,2,529,0
ID10055,29,3,3,Area2,13,12,12,1728,2,1358,1
ID10056,32,3,3,Area2,13,12,9,466,2,959,0
ID10057,36,4,1,Area2,12,13,11,188,2,521,0
ID10058,29,3,1,Area2,13,9,8,892,1,1118,1
ID10059,40,3,1,Area2,14,14,13,5065,1,914,0
ID10060,28,2,2,Area2,17,21,15,1269,2,1273,1
ID10061,26,2,1,Area2,13,26,21,124,2,878,1
ID10062,34,2,1,Area2,16,16,16,2556,2,1235,1
ID10063,33,3,1,Area2,13,13,13,2424,2,813,0
ID10064,27,2,3,Area2,13,5,5,264,2,870,1
ID10065,34,2,2,Area2,15,13,13,1776,2,1077,0
ID10066,36,2,2,Area2,9,15,15,1002,2,1482,1
ID10067,31,4,1,Area2,13,8,8,750,2,424,0
ID10068,34,3,2,Area2,16,16,16,4413,2,373,0
ID10069,32,2,3,Area2,12,9,9,1582,2,691,0
ID10070,30,2,1,Area2,16,13,13,684,2,511,0
ID10071,25,3,2,Area2,16,6,6,749,2,754,0
ID10072,37,2,3,Area2,6,22,22,1070,2,673,1
ID10073,26,6,3,Area2,11,16,16,7097,2,533,0
ID10074,25,4,2,Area2,16,12,12,620,2,461,0
ID10075,39,3,3,Area2,12,9,9,264,2,364,0
ID10076,25,2,1,Area2,15,14,14,7809,2,1078,1
ID10077,26,2,2,Area2,13,17,17,557,2,817,0
ID10078,37,2,3,Area2,12,10,10,831,2,747,0
ID10079,36,2,1,Area2,14,15,15,649,2,302,0
ID10080,28,4,3,Area2,14,21,21,582,2,848,0
ID10081,37,3,2,Area2,13,17,17,396,2,736,0
ID10082,30,2,3,Area2,16,10,10,1625,2,1210,1
ID10083,32,2,1,Area2,16,9,9,468,2,1318,0
ID10084,36,4,2,Area2,15,19,19,2590,2,584,0
ID10085,26,3,3,Area2,11,15,14,2434,2,1475,1
ID10086,28,2,1,Area2,15,17,17,3419,2,492,1
ID10087,30,3,2,Area2,14,11,11,1528,2,975,0
ID10088,34,3,2,Area2,13,12,12,2481,2,1381,1
ID10089,34,3,2,Area1,16,49,49,11311,2,769,0
ID10090,26,2,2,Area1,10,11,11,3223,2,1314,1
ID10091,39,4,3,Area1,12,15,13,6168,1,345,0
ID10092,32,4,3,Area1,8,7,7,30,2,1058,1
ID10093,39,4,2,Area1,13,14,13,901,2,582,0
ID10094,37,3,2,Area1,13,19,14,147,2,759,0
ID10095,32,2,3,Area1,13,1,1,0,2,745,0
ID10096,37,3,1,Area1,13,11,11,988,2,329,0
ID10097,30,4,1,Area1,13,11,11,3654,2,784,1
ID10098,35,2,1,Area1,13,29,29,58,2,517,0
ID10099,32,4,2,Area2,16,6,6,1570,2,512,0
ID10100,26,2,1,Area1,16,20,16,839,1,579,0
ID10101,40,4,2,Area1,13,36,28,987,2,1022,0
ID10102,29,6,3,Area1,13,8,8,923,1,1152,0
ID10103,38,4,1,Area1,16,16,15,6605,1,433,0
ID10104,39,3,2,Area1,17,24,19,3345,1,405,0
ID10105,39,4,2,Area1,9,39,40,3378,2,1344,1
ID10106,30,3,3,Area1,13,14,15,375,2,1022,1
ID10107,33,3,1,Area1,16,7,7,0,2,741,0
ID10108,30,3,1,Area1,11,13,9,434,1,1030,1
ID10109,34,8,1,Area2,15,42,38,9538,2,1439,1
ID10110,29,3,1,Area1,16,34,34,1851,2,952,0
ID10111,29,3,1,Area1,9,29,29,269,2,559,0
ID10112,28,4,1,Area2,17,29,25,5751,2,325,1
ID10113,33,3,1,Area1,17,26,23,2933,2,1439,1
ID10114,30,2,1,Area1,4,12,9,744,1,1465,1
ID10115,37,3,1,Area2,15,10,10,271,2,884,0
ID10116,28,4,1,Area1,16,21,16,9151,2,543,1
ID10117,38,2,1,Area1,12,19,15,9,2,345,0
ID10118,38,3,2,Area1,13,25,18,1804,2,643,0
ID10119,29,2,2,Area1,13,9,9,727,2,1343,1
ID10120,38,5,2,Area1,16,26,19,1326,1,1356,0
ID10121,31,3,2,Area1,12,30,29,3971,2,616,0
ID10122,34,2,3,Area1,16,10,10,1629,1,1120,1
ID10123,38,2,3,Area1,8,11,10,212,1,1268,1
ID10124,38,3,3,Area1,12,14,13,447,2,609,0
ID10125,35,3,3,Area1,12,15,15,1911,2,1169,0
ID10126,36,2,2,Area1,7,6,14,242,2,1287,1
ID10127,37,3,2,Area1,13,20,21,804,2,579,0
ID10128,36,3,3,Area1,14,25,20,3201,2,849,0
ID10129,35,2,1,Area1,12,16,16,266,2,765,0
ID10130,33,5,2,Area1,13,11,11,718,2,1372,0
ID10131,33,2,3,Area1,15,9,9,419,2,1350,1
ID10132,35,3,3,Area1,11,36,22,812,2,481,0
ID10133,37,3,3,Area1,13,12,13,893,2,381,0
ID10134,37,4,3,Area1,13,26,22,1445,1,1179,0
