"X"|"Y"
1|1.27936078205526
2|3.29409387473237
3|9.62801715295725
4|17.4802139600857
5|26.0834299100833
6|35.1867557433359
7|47.3811231507764
8|63.8903443005118
9|81.440889370917
10|101.350993979809
11|119.681390515466
12|144.364384592607
13|169.233499835089
14|197.193955261259
15|224.97209002787
16|255.642701145496
17|287.853185863882
18|323.482579516406
19|360.637876227422
20|402.350554325789
21|443.4465313757
22|483.833296720516
23|527.956332560938
24|574.027065065925
25|625.514671633438
26|674.909426416265
27|731.284659325544
28|783.114382427342
29|841.111106429746
30|903.810276680711
31|959.891090002057
32|1024.30756662442
33|1087.89310552777
34|1156.34765364882
35|1224.12673546494
36|1296.07730312274
37|1368.70313135784
38|1442.81675775957
39|1521.01129268842
40|1600.99160103606
41|1682.5939674539
42|1762.62728872907
43|1848.75038906696
44|1937.15942452686
45|2023.88577765216
46|2113.47149931115
47|2208.06409744149
48|2303.03276054206
49|2401.04748859233
50|2499.5962632065
51|2601.23149612824
52|2703.57762759207
53|2809.3741183947
54|2915.633994225
55|3026.19010144652
56|3135.26267247474
57|3249.29066664544
58|3363.11515043172
59|3481.20800647887
60|3599.95226982752
61|3719.31547935386
62|3843.85577344338
63|3970.1802136655
64|4096.6813999232
65|4225.14324763089
66|4354.80768355629
67|4490.16922865279
68|4624.07920170895
69|4760.54822624723
70|4901.6420282128
71|5040.2304076784
72|5184.30336096076
73|5330.28173742118
74|5476.60222279517
75|5624.69297773546
76|5775.58158189658
77|5929.35513553005
78|6084.5134811146
79|6241.01860740033
80|6401.31844897226
81|6560.93416800016
82|6723.29970392168
83|6889.53732613152
84|7053.79821767765
85|7225.3919737438
86|7396.49696095242
87|7568.77512528457
88|7742.88285683467
89|7920.60500539669
90|8101.54983034224
91|8280.2564855202
92|8461.66828788227
93|8649.81224544221
94|8835.4986893428
95|9024.48911343405
96|9214.78463595885
97|9408.97744137165
98|9604.70123930043
99|9800.41251797441
100|9999.39327205858
